"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","0 Muthithi Rd","1","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",3390,2639,4354
"258","0 Muthithi Rd","3","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1781,1346,2354
"258","0 Muthithi Rd","5","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2039,1303,3190
"258","0 Muthithi Rd","6","Athi River Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2643,1893,3689
"258","0 Muthithi Rd","7","Jirongo Flats","1/1/2018 - 1/31/2018, Every day, Daily Average",2901,1800,4675
"258","0 Muthithi Rd","9","Meru - Nairobi Hwy","1/1/2018 - 1/31/2018, Every day, Daily Average",2304,1570,3380
"258","0 Muthithi Rd","13","Foot Path","1/1/2018 - 1/31/2018, Every day, Daily Average",2384,1545,3678
"258","0 Muthithi Rd","14","Kangundo Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2781,2065,3744
"258","0 Muthithi Rd","15","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2131,1420,3196
"258","0 Muthithi Rd","16","Silanga Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2281,1395,3729
"258","0 Muthithi Rd","17","Ole Kasasi Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",4041,2686,6077
"258","0 Muthithi Rd","19","Kihara- Gacii- Karura Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1729,1142,2616
"258","0 Muthithi Rd","20","Icipe Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1103,684,1778
"258","0 Muthithi Rd","21","Carpenter's Workshop","1/1/2018 - 1/31/2018, Every day, Daily Average",2270,1543,3337
"258","0 Muthithi Rd","22","Kiroe Chunga Mali Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2092,1627,2689
"258","0 Muthithi Rd","23","Muhuri Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1287,842,1965
"258","0 Muthithi Rd","24","Ndege Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2823,1816,4386
"258","0 Muthithi Rd","25","1000 Kangundo Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2384,1528,3719
"258","0 Muthithi Rd","26","Arena Dr","1/1/2018 - 1/31/2018, Every day, Daily Average",951,598,1511
"258","0 Muthithi Rd","27","Ngong Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2320,1442,3731
"258","0 Muthithi Rd","28","Miotoni Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2904,1986,4245
"258","0 Muthithi Rd","29","Mayor Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2515,1557,4061
"258","0 Muthithi Rd","30","Kerwa","1/1/2018 - 1/31/2018, Every day, Daily Average",1961,1519,2531
"258","0 Muthithi Rd","32","Hospital Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2303,1545,3432
"258","0 Muthithi Rd","33","Limuru Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1505,1020,2218
"258","0 Muthithi Rd","36","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",930,592,1458
"258","0 Muthithi Rd","37","Riflo Workshop","1/1/2018 - 1/31/2018, Every day, Daily Average",1180,761,1829
"258","0 Muthithi Rd","39","Kiambia-Gathanga Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1777,1262,2501
"258","0 Muthithi Rd","40","Stage Mpya","1/1/2018 - 1/31/2018, Every day, Daily Average",2011,1314,3076
"258","0 Muthithi Rd","41","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2726,1876,3960
"258","0 Muthithi Rd","42","Eastern By Pass","1/1/2018 - 1/31/2018, Every day, Daily Average",2222,1464,3370
"258","0 Muthithi Rd","44","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2142,1233,3720
"258","0 Muthithi Rd","46","Magoko Road","1/1/2018 - 1/31/2018, Every day, Daily Average",3339,2452,4545
"258","0 Muthithi Rd","47","Ruiru Kamiti Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2573,1804,3668
"258","0 Muthithi Rd","48","Kiambu Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",483,286,813
"258","0 Muthithi Rd","49","Rd to Utawala Academy","1/1/2018 - 1/31/2018, Every day, Daily Average",2141,1256,3649
"258","0 Muthithi Rd","51","First Freight Lane","1/1/2018 - 1/31/2018, Every day, Daily Average",1852,1121,3058
"258","0 Muthithi Rd","52","300 Ngong Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2736,1804,4147
"258","0 Muthithi Rd","53","Bamburi Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",3214,2214,4663
"258","0 Muthithi Rd","54","Muramati Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2206,1748,2783
